species,order,oCode,set,Stock,phyl,repr,code,Sex,Linf,L0,W0,EggDWg,K,t0,Lm,M,Temp,cycle,litter,aW,bW,s_W,s_Linf,s_L0,s_K,s_t0,s_Lm,s_M,source_GSI,source_F,source_eggD,source_cycle,source_litter
Pleuronectes platessa  ,Pleuronectiformes,5,f,Irish Sea,t,o,5,f,46,,0.00159,0.000318,0.25,-1.2,26.2,,10.3,1,46300,0.0089,3.053,Bedford1986,Basimi1985,Hislop&Bell1986(NS)(ww 5dw),,,,,,,,,
Pleuronectes platessa  ,Pleuronectiformes,5,f,North Sea,t,o,5,f,54.4,,0.00159,0.000318,0.11,,26.6,,8,1,40000,0.0089,3.053,Bedford1986,Jennings1998,Hislop&Bell1986(ww 5dw),,,,,,,,,
Solea solea ,Pleuronectiformes,5,f,Celtic Sea ,t,o,5,f,49.8,,0.001441162,0.000118738,0.13,,24.2,,10,1,44700,0.00762,3.068,Bedford1986,Jennings1998,Devauchelle1987,,,,,,,,,
Solea solea ,Pleuronectiformes,5,f,North Sea ,t,o,5,f,39.2,,0.001441162,0.000118738,0.28,,24.8,,8,1,86100,0.00762,3.068,Bedford1986,Jennings1998,Devauchelle1987,,,,,,,,,
Trisopterus esmarkii,Gadiformes,4,f,North Sea ,t,o,5,f,22.6,,0.000285,0.000057,0.52,,18.6,,8,1,31300,0.0066,3,Raitt 1968,Jennings 1998,Hislop&Bell 1986(ww 5dw),,,,,,,,,
Clupea pallasi,Clupeiformes,3,f,Central British Columbia ,t,o,5,c,27,,0.001355,0.000271,0.47,,22,,10,1,28500,0.017357548,2.862,Gundrson1988,Ware1980 Beverton1963,Jones 1971(ww 5dw),,,,,,,,,
Clupea pallasi,Clupeiformes,3,f,SE Alaska ,t,o,5,c,35,,0.001355,0.000271,0.25,,25,,10,1,37600,0.017357548,2.862,Gundrson1988,Ware1980 Beverton1963,Jones 1971(ww 5dw),,,,,,,,,
Gadus macrocephalus,Gadiformes,4,f,Hectate Strait ,t,o,5,f,96.58,,0.00055475,0.00011095,0.247,-0.3685,50.3,,7.6,1,679500,0.004988,3.2117,Westrheim1996,Westrheim1996,Laurel 2010(ww 5dw),,,,,,,,,
Merlangius merlangus ,Gadiformes,4,f,W. Scotland ,t,o,5,f,56.3,,0.000295,0.000059,0.11,,28.4,,9.5,1,259000,0.00556,3.104,Bedford1986,Jennings1998,Hislop&Bell 1986(NS)(ww 5dw),,,,,,,,,
Gadus morhua,Gadiformes,4,f,Irish Sea ,t,o,5,f,98.5,,0.000545,0.000109,0.39,,60.9,,10.3,1,1081200,0.007,3.087,Bedford1986,Jennings1998,Hislop&Bell 1986(NS)(ww 5dw),,,,,,,,,
Melanogrammus aeglefinus,Gadiformes,4,f,Grand Bank,t,o,5,f,66.81,,0.000395,0.000079,0.12,-2.07,42.8,,5,1,302400,0.00964791,2.98,Kohler 1959,Templeman 1978 (age),Rideout 2005(ww 5dw),,,,,,,,,
Gadus morhua,Gadiformes,4,f,Grand Bank ,t,o,5,c,71.71,,0.000475,0.000095,0.2,-0.22,61,,6,1,434200,0.01047,2.96,Minet 1978,Sinclair 2001 Based on 1975 cohhort,Oullet 2001(ww 5dw),,,,,,,,,
Gadus morhua,Gadiformes,4,f,Newfoundland ,t,o,5,c,56.91,,0.000475,0.000095,0.25,-0.38,51,,6,1,358500,0.01047,2.96,Minet 1978,Sinclair 2001 Baaed on 1982 cohort,Oullet 2001(ww 5dw),,,,,,,,,
Gadus morhua,Gadiformes,4,f,St. Pierre Bank ,t,o,5,c,117.67,,0.000475,0.000095,0.1,-0.44,58.3,,6,1,370900,0.01047,2.96,Minet 1978,Sinclair 2001 Based on 1972 cohort,Oullet 2001(ww 5dw),,,,,,,,,
Clupea pallasi,Clupeiformes,3,f,S. Strait of Georgia ,t,o,5,c,27,,0.001355,0.000271,0.48,,17.9,,10,1,12200,0.017357548,2.862,Gundrson1988,Beverton 1963,Jones 1971(ww 5dw),,,,,,,,,
Hippoglossoides platessoides ,Pleuronectiformes,5,f,Grand Bank ,t,o,5,f,85.5,,0.0006215,0.0001243,0.04,-1.23,47.7,,6,1,441800,0.005489,3.099,Bakken 1987,Bakken 1987,Howell and caldwell 1984(ww 5dw),,,,,,,,,
Theragra chalcogramma ,Gadiformes,4,f,E. Bering Sea,t,o,5,f,73.79,,0.0012,0.00024,0.201,-0.154,34,,4,1,58100,0.0075,2.997,Lin Lai 1987(smith1979),Lin Lai 1987,Harris 1986(ww 5dw),,,,,,,,,
Theragra chalcogramma ,Gadiformes,4,f,SE Kamchatka ,t,o,5,f,46.02,,0.0012,0.00024,0.308,-0.168,37,,2,1,130600,0.0075,2.997,Lin Lai 1987(smith1979),Kooka 2012,Harris 1986(ww 5dw),,,,,,,,,
Theragra chalcogramma ,Gadiformes,4,f,W. Bering Sea ,t,o,5,f,58.59,,0.0012,0.00024,0.094,-8.79,42,,4,1,126800,0.0075,2.997,Lin Lai 1987(smith1979),Akira 2001,Harris 1986(ww 5dw),,,,,,,,,
